;Species;tax.id;Genus;Family;Order;Class;Phylum;Kingdom;Domain;DemersPelag
303;Ostorhinchus novemfasciatus;316370;Ostorhinchus;Apogonidae;Kurtiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
304;Ostorhinchus relativus;1960704;Ostorhinchus;Apogonidae;Kurtiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
305;Ostracion cubicus;229058;Ostracion;Ostraciidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
306;Ostracion meleagris;342444;Ostracion;Ostraciidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
307;Oxycheilinus arenatus;997973;Oxycheilinus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
308;Oxycheilinus unifasciatus;241329;Oxycheilinus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
309;Oxyurichthys cornutus;1916822;Oxyurichthys;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
310;Palutrus pruinosa;2589342;Palutrus;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
311;Paracirrhites arcatus;215373;Paracirrhites;Cirrhitidae;Centrarchiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
312;Paracirrhites forsteri;100206;Paracirrhites;Cirrhitidae;Centrarchiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
313;Paracirrhites hemistictus;1068870;Paracirrhites;Cirrhitidae;Centrarchiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
314;Parapercis millepunctata;1156123;Parapercis;Pinguipedidae;Uranoscopiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
315;Parupeneus barberinus;475168;Parupeneus;Mullidae;Syngnathiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
316;Parupeneus ciliatus;435217;Parupeneus;Mullidae;Syngnathiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
317;Parupeneus cyclostomus;586844;Parupeneus;Mullidae;Syngnathiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
318;Parupeneus insularis;1156124;Parupeneus;Mullidae;Syngnathiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
319;Parupeneus multifasciatus;626244;Parupeneus;Mullidae;Syngnathiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
320;Parupeneus pleurostigma;603997;Parupeneus;Mullidae;Syngnathiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
321;Pateobatis fai;335001;Pateobatis;Dasyatidae;Myliobatiformes;Chondrichthyes;Chordata;Metazoa;Eukaryota;reef-associated
322;Pempheris oualensis;490270;Pempheris;Pempheridae;Pempheriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
323;Pervagor aspricaudus;586845;Pervagor;Monacanthidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
324;Pervagor marginalis;2589314;Pervagor;Monacanthidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
325;Plagiotremus tapeinosoma;879520;Plagiotremus;Blenniidae;Blenniiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
326;Platax orbicularis;75032;Platax;Ephippidae;Ephippiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
327;Platybelone argala;129059;Platybelone;Belonidae;Beloniformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
328;Plectorhinchus picus;586849;Plectorhinchus;Haemulidae;Lutjaniformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
329;Plectranthias fourmanoiri;1316455;Plectranthias;Serranidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
330;Plectroglyphidodon dickii;80987;Plectroglyphidodon;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
331;Plectroglyphidodon imparipennis;997974;Plectroglyphidodon;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
332;Plectroglyphidodon johnstonianus;997975;Plectroglyphidodon;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
333;Plectroglyphidodon lacrymatus;80988;Plectroglyphidodon;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
334;Plectroglyphidodon leucozonus;80989;Plectroglyphidodon;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
335;Plectroglyphidodon phoenixensis;997976;Plectroglyphidodon;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
336;Plectroglyphidodon sagmarius;1567460;Plectroglyphidodon;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
337;Plectropomus laevis;134630;Plectropomus;Serranidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
338;Plectrypops lima;753651;Plectrypops;Holocentridae;Holocentriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
339;Pleurosicya labiata;1156126;Pleurosicya;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
340;Polydactylus plebeius;392546;Polydactylus;Polynemidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
341;Pomacanthus imperator;109711;Pomacanthus;Pomacanthidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
342;Pomacentrus coelestis;80955;Pomacentrus;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
343;Pomacentrus pavo;146145;Pomacentrus;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
344;Pomacentrus vaiuli;161914;Pomacentrus;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
345;Pomachromis fuscidorsalis;229143;Pomachromis;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
346;Priacanthus hamrur;398259;Priacanthus;Priacanthidae;Priacanthiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
347;Priolepis cincta;166757;Priolepis;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
348;Priolepis semidoliata;1156130;Priolepis;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
349;Priolepis squamogena;1156131;Priolepis;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
350;Prionace glauca;7815;Prionace;Carcharhinidae;Carcharhiniformes;Chondrichthyes;Chordata;Metazoa;Eukaryota;pelagic
351;Pristiapogon exostigma;316347;Pristiapogon;Apogonidae;Kurtiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
352;Pristiapogon fraenatus;316348;Pristiapogon;Apogonidae;Kurtiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
353;Pristiapogon kallopterus;316349;Pristiapogon;Apogonidae;Kurtiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
354;Pseudanthias bicolor;2768254;Pseudanthias;Serranidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
355;Pseudanthias hiva;1343687;Pseudanthias;Serranidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
356;Pseudanthias mooreanus;1156135;Pseudanthias;Serranidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
357;Pseudanthias olivaceus;1156136;Pseudanthias;Serranidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
358;Pseudanthias pascalus;586855;Pseudanthias;Serranidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
359;Pseudobalistes flavimarginatus;392903;Pseudobalistes;Balistidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
360;Pseudocaranx dentex;349646;Pseudocaranx;Carangidae;Carangiformes;Actinopteri;Chordata;Metazoa;Eukaryota;both
361;Pseudocheilinus evanidus;586857;Pseudocheilinus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
362;Pseudocheilinus hexataenia;586858;Pseudocheilinus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
363;Pseudocheilinus octotaenia;241335;Pseudocheilinus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
364;Pseudocheilinus tetrataenia;586859;Pseudocheilinus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
365;Pseudocoris aurantiofasciata;997983;Pseudocoris;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
366;Pseudodax moluccanus;188119;Pseudodax;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
367;Pseudojuloides atavai;241339;Pseudojuloides;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
368;Ptereleotris evides;150323;Ptereleotris;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
369;Ptereleotris microlepis;166779;Ptereleotris;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
370;Ptereleotris monoptera;166780;Ptereleotris;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
371;Ptereleotris zebra;150319;Ptereleotris;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
372;Pterocaesio tile;181466;Pterocaesio;Lutjanidae;Lutjaniformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
373;Pterois antennata;185882;Pterois;Scorpaenidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
374;Pterois radiata;185885;Pterois;Scorpaenidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
375;Pygoplites diacanthus;109741;Pygoplites;Pomacanthidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
376;Rhabdoblennius rhabdotrachelus;2589321;Rhabdoblennius;Blenniidae;Blenniiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
377;Rhincodon typus;259920;Rhincodon;Rhincodontidae;Orectolobiformes;Chondrichthyes;Chordata;Metazoa;Eukaryota;pelagic
378;Rhinecanthus aculeatus;245705;Rhinecanthus;Balistidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
379;Rhinecanthus lunula;480296;Rhinecanthus;Balistidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
380;Rhinecanthus rectangulus;480297;Rhinecanthus;Balistidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
381;Sardinops sagax;298279;Sardinops;Clupeidae;Clupeiformes;Actinopteri;Chordata;Metazoa;Eukaryota;pelagic
382;Sargocentron caudimaculatum;88714;Sargocentron;Holocentridae;Holocentriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
383;Sargocentron diadema;47709;Sargocentron;Holocentridae;Holocentriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
384;Sargocentron microstoma;47710;Sargocentron;Holocentridae;Holocentriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
385;Sargocentron punctatissimum;47711;Sargocentron;Holocentridae;Holocentriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
386;Sargocentron spiniferum;47712;Sargocentron;Holocentridae;Holocentriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
387;Sargocentron tiere;47713;Sargocentron;Holocentridae;Holocentriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
388;Sargocentron violaceum;1146984;Sargocentron;Holocentridae;Holocentriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
389;Saurida gracilis;990639;Saurida;Synodontidae;Aulopiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
390;Saurida nebulosa;1074258;Saurida;Synodontidae;Aulopiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
391;Scarus altipinnis;544415;Scarus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
392;Scarus chameleon;247620;Scarus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
393;Scarus forsteni;242802;Scarus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
394;Scarus frenatus;126672;Scarus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
395;Scarus ghobban;242806;Scarus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
396;Scarus globiceps;247622;Scarus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
397;Scarus koputea;1236069;Scarus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
398;Scarus oviceps;242808;Scarus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
399;Scarus psittacus;247625;Scarus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
400;Scarus rubroviolaceus;247628;Scarus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
401;Scarus schlegeli;247629;Scarus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
402;Scarus spinus;544417;Scarus;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
403;Scomberoides lysan;334379;Scomberoides;Carangidae;Carangiformes;Actinopteri;Chordata;Metazoa;Eukaryota;both
404;Scorpaenodes guamensis;990641;Scorpaenodes;Scorpaenidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
405;Scorpaenodes hirsutus;2589324;Scorpaenodes;Scorpaenidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
406;Scorpaenodes kelloggi;1146986;Scorpaenodes;Scorpaenidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
407;Scorpaenopsis diabolus;700668;Scorpaenopsis;Scorpaenidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
408;Sebastapistes fowleri;1156143;Sebastapistes;Scorpaenidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
409;Sebastapistes strongia;991004;Sebastapistes;Scorpaenidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
410;Sebastapistes tinkhami;1146990;Sebastapistes;Scorpaenidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
411;Selar crumenophthalmus;146146;Selar;Carangidae;Carangiformes;Actinopteri;Chordata;Metazoa;Eukaryota;both
412;Siganus argenteus;225755;Siganus;Siganidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
413;Siganus spinus;225758;Siganus;Siganidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
414;Sphyraena barracuda;70868;Sphyraena;Sphyraenidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
415;Sphyraena forsteri;392543;Sphyraena;Sphyraenidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
416;Sphyraena helleri;392544;Sphyraena;Sphyraenidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
417;Sphyrna lewini;7823;Sphyrna;Carcharhinidae;Carcharhiniformes;Chondrichthyes;Chordata;Metazoa;Eukaryota;pelagic
418;Sphyrna mokarran;195334;Sphyrna;Carcharhinidae;Carcharhiniformes;Chondrichthyes;Chordata;Metazoa;Eukaryota;pelagic
419;Stanulus seychellensis;1156475;Stanulus;Blenniidae;Blenniiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
420;Stegastes albifasciatus;997984;Stegastes;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
421;Stegastes aureus;1567462;Stegastes;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
422;Stegastes emeryi;1567463;Stegastes;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
423;Stegastes fasciolatus;80994;Stegastes;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
424;Stegastes lividus;80995;Stegastes;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
425;Stegastes nigricans;351694;Stegastes;Pomacentridae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
426;Stethojulis bandanensis;241348;Stethojulis;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
427;Stethojulis marquesensis;2589326;Stethojulis;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
428;Stethojulis strigiventer;997987;Stethojulis;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
429;Sufflamen bursa;303704;Sufflamen;Balistidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
430;Suttonia lineata;1156145;Suttonia;Serranidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
431;Synodus binotatus;1068868;Synodus;Synodontidae;Aulopiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
432;Synodus dermatogenys;1146991;Synodus;Synodontidae;Aulopiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
433;Synodus variegatus;261076;Synodus;Synodontidae;Aulopiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
434;Thalassoma amblycephalum;239039;Thalassoma;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
435;Thalassoma hardwicke;219283;Thalassoma;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
436;Thalassoma lutescens;239049;Thalassoma;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
437;Thalassoma purpureum;219413;Thalassoma;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
438;Thalassoma quinquevittatum;219412;Thalassoma;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
439;Thalassoma trilobatum;239059;Thalassoma;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
440;Thunnus alalunga;8235;Thunnus;Scombridae;Scombriformes;Actinopteri;Chordata;Metazoa;Eukaryota;pelagic
441;Thunnus albacares;8236;Thunnus;Scombridae;Scombriformes;Actinopteri;Chordata;Metazoa;Eukaryota;pelagic
442;Thunnus obesus;8241;Thunnus;Scombridae;Scombriformes;Actinopteri;Chordata;Metazoa;Eukaryota;pelagic
443;Triaenodon obesus;496413;Triaenodon;Carcharhinidae;Carcharhiniformes;Chondrichthyes;Chordata;Metazoa;Eukaryota;reef-associated
444;Trimmatom nanus;2589334;Trimmatom;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
445;Uropterygius alboguttatus;1156147;Uropterygius;Muraenidae;Anguilliformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
446;Uropterygius macrocephalus;876643;Uropterygius;Muraenidae;Anguilliformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
447;Valenciennea strigata;150332;Valenciennea;Gobiidae;Gobiiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
448;Variola louti;300415;Variola;Serranidae;Perciformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
449;Wetmorella nigropinnata;241351;Wetmorella;Labridae;Labriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
450;Xanthichthys caeruleolineatus;1633482;Xanthichthys;Balistidae;Tetraodontiformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
451;Xiphias gladius;8245;Xiphias;Xiphiidae;Istiophoriformes;Actinopteri;Chordata;Metazoa;Eukaryota;pelagic
452;Zanclus cornutus;75044;Zanclus;Zanclidae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
453;Zebrasoma rostratum;753649;Zebrasoma;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
454;Zebrasoma scopas;75046;Zebrasoma;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
455;Zebrasoma velifer;1311505;Zebrasoma;Acanthuridae;Acanthuriformes;Actinopteri;Chordata;Metazoa;Eukaryota;reef-associated
